,sub_id,ses_id,volume_path,judge_code,score
0,NDARWA570DNL,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARWA570DNL/ses-VNav/anat/sub-NDARWA570DNL_ses-VNav_T1w.nii.gz,eS6M6BKU,3
1,NDARGD229DCJ,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARGD229DCJ/ses-VNav/anat/sub-NDARGD229DCJ_ses-VNav_T1w.nii.gz,eS6M6BKU,1
2,NDARBU451LDR,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARBU451LDR/ses-VNav/anat/sub-NDARBU451LDR_ses-VNav_T1w.nii.gz,eS6M6BKU,1
3,NDARNB773ECT,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARNB773ECT/ses-VNav/anat/sub-NDARNB773ECT_ses-VNav_T1w.nii.gz,eS6M6BKU,2
4,NDARHV358ZCU,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARHV358ZCU/ses-HCP/anat/sub-NDARHV358ZCU_ses-HCP_T1w.nii.gz,eS6M6BKU,2
5,NDARDU314YVY,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARDU314YVY/ses-VNav/anat/sub-NDARDU314YVY_ses-VNav_T1w.nii.gz,eS6M6BKU,2
6,NDARNY393MAC,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARNY393MAC/ses-HCP/anat/sub-NDARNY393MAC_ses-HCP_T1w.nii.gz,eS6M6BKU,3
7,NDARAK078LMR,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARAK078LMR/ses-VNav/anat/sub-NDARAK078LMR_ses-VNav_T1w.nii.gz,eS6M6BKU,1
8,NDARKZ858GBD,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARKZ858GBD/ses-HCP/anat/sub-NDARKZ858GBD_ses-HCP_T1w.nii.gz,eS6M6BKU,4
9,NDARMW127WL5,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARMW127WL5/ses-VNav/anat/sub-NDARMW127WL5_ses-VNav_T1w.nii.gz,eS6M6BKU,4
10,NDARCW058DP8,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARCW058DP8/ses-VNav/anat/sub-NDARCW058DP8_ses-VNav_T1w.nii.gz,eS6M6BKU,0
11,NDARGZ888HJN,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARGZ888HJN/ses-HCP/anat/sub-NDARGZ888HJN_ses-HCP_T1w.nii.gz,eS6M6BKU,3
12,NDARPC418NZL,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARPC418NZL/ses-VNav/anat/sub-NDARPC418NZL_ses-VNav_T1w.nii.gz,eS6M6BKU,1
13,NDARLK762JFX,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARLK762JFX/ses-HCP/anat/sub-NDARLK762JFX_ses-HCP_T1w.nii.gz,eS6M6BKU,3
14,NDAREW557WZM,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDAREW557WZM/ses-VNav/anat/sub-NDAREW557WZM_ses-VNav_T1w.nii.gz,eS6M6BKU,2
15,NDAREW531JV9,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDAREW531JV9/ses-VNav/anat/sub-NDAREW531JV9_ses-VNav_T1w.nii.gz,eS6M6BKU,4
16,NDARDT550XYX,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARDT550XYX/ses-HCP/anat/sub-NDARDT550XYX_ses-HCP_T1w.nii.gz,eS6M6BKU,1
17,NDARMM628VVA,HCP,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARMM628VVA/ses-HCP/anat/sub-NDARMM628VVA_ses-HCP_T1w.nii.gz,eS6M6BKU,3
18,NDARZV458LDP,VNav,/run/media/chbricout/E7DC-E5A9/Site-CUNY/sub-NDARZV458LDP/ses-VNav/anat/sub-NDARZV458LDP_ses-VNav_T1w.nii.gz,eS6M6BKU,2
